HRG,Spec,HRG Label,Altnagelvin,Antrim,Banbridge,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Mater,Mid Ulster,Royal Victoria,South Tyrone,South West Acute,Tyrone County,Ulster,Whiteabbey,N. Ireland Total Cost
AA09E,150,"Major Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,"1,587",.,.,.,.,.,"1,587"
AA13D,110,"Intermediate Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System with CC Score 0-2",.,.,.,.,.,.,.,.,"4,391",.,.,.,.,.,.,.,.,.,"4,391"
AA14Z,191,"Intermediate Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy",.,.,.,.,"11,462",.,.,.,.,.,.,.,.,.,.,.,.,.,"11,462"
AA15E,140,"Intermediate Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,330",.,"1,330"
AA19D,400,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,.,332,.,.,.,.,.,332
AA20C,140,"Minor Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 2+",.,.,.,.,.,.,.,"1,076",.,.,.,.,.,.,.,.,.,.,"1,076"
AA20C,191,"Minor Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,.,958,.,.,"1,534",.,"2,492"
AA20D,140,"Minor Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 0-1","2,794",.,.,.,.,.,.,"1,076",.,.,.,.,.,.,.,.,.,.,"3,870"
AA20D,150,"Minor Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"13,261",.,.,.,.,.,"13,261"
AA20D,191,"Minor Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,.,"5,407",.,.,383,.,"5,790"
AA21E,191,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,.,.,"4,595",.,.,.,.,"4,595"
AA21E,400,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,.,"1,662",.,.,.,.,.,"1,662"
AA21F,100,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",.,.,.,.,.,.,.,.,.,863,.,.,.,.,.,.,.,.,863
AA21F,120,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,995,.,995
AA21F,150,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,.,.,"2,334",.,.,.,.,.,"2,334"
AA21F,191,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",.,.,.,233,.,.,.,.,.,.,.,.,.,"6,695",.,.,.,.,"6,928"
AA21F,303,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",.,220,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,220
AA21F,400,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,.,.,"28,919",.,.,.,.,.,"28,919"
AA21G,100,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0",.,.,.,.,.,.,.,.,.,863,.,.,.,.,.,.,.,.,863
AA21G,160,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,147",.,"1,147"
AA21G,191,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0",921,.,.,.,262,.,.,.,.,.,.,.,.,"7,822",.,.,767,.,"9,772"
AA21G,400,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,"1,662",.,.,.,.,.,"1,662"
AA22G,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,376,.,.,.,.,.,"1,192",.,.,.,.,.,"1,567"
