HRG Code,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Mid Ulster,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Northern Ireland Total
AA22C,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+",.,.,.,.,.,.,.,.,.,.,.,.,"6,590",.,.,.,.,"6,590"
AA22E,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10","1,693",.,.,.,"4,566",.,.,.,.,.,.,.,"3,705",.,.,.,.,"9,964"
AA22F,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,832,.,.,.,.,.,.,.,"10,181",.,.,.,.,"11,013"
AA22G,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",446,.,.,.,878,.,.,.,.,.,.,.,"31,220",.,.,.,.,"32,543"
AA23C,Haemorrhagic Cerebrovascular Disorders with CC Score 14+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"5,903","5,903"
AA23D,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,"2,700",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,700"
AA23E,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,"14,447",.,.,.,.,.,.,.,.,.,"10,446",.,.,.,.,"24,894"
AA23F,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,.,"14,607",.,.,.,.,"14,607"
AA23G,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,.,"24,392",.,.,.,.,"24,392"
AA24E,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,.,"2,808",.,.,.,.,.,.,.,.,"1,540",.,.,.,.,"4,348"
AA24F,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,"7,497",.,.,.,.,.,.,.,.,.,"19,987",.,.,.,.,"27,484"
AA24G,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,"12,994",.,"1,660",.,.,.,.,.,.,.,"18,429",.,.,.,.,"33,083"
AA24H,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,"40,923",.,408,.,.,.,.,.,.,.,"35,347",.,514,.,"6,813","84,004"
AA25C,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+",.,.,728,"13,105",.,.,.,.,.,.,.,.,.,.,.,.,.,"13,833"
AA25D,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",.,"1,350",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,350"
AA25E,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10","4,013",.,.,.,.,.,.,.,.,.,.,.,"6,514",.,.,.,"1,989","12,516"
AA25F,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,"2,426",.,"4,897",.,.,.,.,.,.,.,"36,329",.,.,.,.,"43,652"
AA25G,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4","1,338",.,.,.,"2,257",.,.,592,.,.,.,.,"140,578",.,"3,938",.,"1,915","150,617"
AA26D,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",.,.,.,.,.,.,.,"3,902",.,.,.,.,.,.,.,.,.,"3,902"
AA26E,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",446,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,443,889
AA26F,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8","1,693","1,688","4,624",.,.,.,.,"2,751",.,.,.,.,"30,042",.,.,.,.,"40,798"
AA26G,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5","4,087","5,929","7,752",.,.,.,.,.,.,.,.,.,"67,987",.,514,.,"2,860","89,129"
AA26H,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2","9,560","3,525","2,065","1,290","3,754",.,.,"8,857",.,.,.,.,"132,267",.,.,.,"1,915","163,233"
AA27Z,Medical Care of Patients with Alzheimer's Disease,.,.,.,.,.,.,.,.,.,.,.,.,855,.,.,.,.,855
AA28C,Motor Neuron Disease with CC Score 8+,.,.,.,.,.,.,.,.,.,.,.,.,"15,957",.,.,.,.,"15,957"
AA28D,Motor Neuron Disease with CC Score 5-7,"11,147",.,841,.,.,.,.,.,.,.,.,.,"9,661",.,.,.,.,"21,649"
AA28E,Motor Neuron Disease with CC Score 2-4,.,.,"5,381",.,.,.,.,.,.,.,.,.,"65,200",.,.,.,.,"70,581"
AA28F,Motor Neuron Disease with CC Score 0-1,.,.,"1,231",.,.,.,.,.,.,.,.,.,"110,858",.,.,.,.,"112,089"
AA29D,Transient Ischaemic Attack with CC Score 8-10,.,345,.,.,.,.,.,.,.,.,.,.,"2,318",.,.,.,.,"2,663"
AA29E,Transient Ischaemic Attack with CC Score 5-7,446,401,.,.,.,.,.,.,.,.,.,.,"1,491",.,.,.,485,"2,823"
AA29F,Transient Ischaemic Attack with CC Score 0-4,.,.,.,.,.,.,.,.,.,.,.,.,"1,350",.,514,.,.,"1,864"
AA30D,"Medical Care of Patients with Multiple Sclerosis, with CC Score 5-7",.,.,.,.,"17,834",.,.,.,"1,479",.,.,.,"2,956",.,"2,625",.,.,"24,894"
AA30E,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",.,.,.,.,"6,017",.,.,.,.,.,.,.,"7,082",.,.,.,"1,865","14,964"
AA30F,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",892,.,.,.,"2,675",291,.,.,.,.,.,.,"65,010",.,.,.,.,"68,868"
AA31D,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 7-10",.,401,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,401
AA31E,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6","4,905",.,"6,514",468,.,291,.,.,.,.,.,.,"69,625",.,"1,028",.,.,"82,830"
AA33C,"Conventional EEG, EMG or Nerve Conduction Studies, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,"2,288",.,.,.,.,"2,288"
AA33D,"Conventional EEG, EMG or Nerve Conduction Studies, 18 years and under",745,558,.,.,.,.,.,.,.,.,.,.,"6,507",.,.,.,.,"7,810"
AA35B,Stroke with CC Score 13-15,.,689,.,.,.,.,.,.,.,.,.,.,997,.,.,.,.,"1,686"
AA35C,Stroke with CC Score 10-12,.,.,.,.,.,.,.,.,.,.,.,.,"38,531",.,.,.,.,"38,531"
AA35D,Stroke with CC Score 7-9,.,"2,743",.,"3,744",.,.,.,.,.,.,.,.,"26,047",.,.,.,.,"32,534"
AA35E,Stroke with CC Score 4-6,803,.,.,.,"3,010","1,162",.,.,.,.,.,.,"17,075",.,.,.,.,"22,050"
AA35F,Stroke with CC Score 0-3,446,.,"4,624",.,.,.,.,.,.,.,.,.,929,.,656,.,.,"6,655"
AA50B,"Very Complex Intracranial Procedures, 19 years and over, with CC Score 6-11",.,.,.,.,.,.,.,.,.,.,.,.,"54,188",.,.,.,.,"54,188"
AA50C,"Very Complex Intracranial Procedures, 19 years and over, with CC Score 0-5",.,.,.,.,.,.,.,.,.,.,.,.,"111,695",.,.,.,.,"111,695"
AA50E,"Very Complex Intracranial Procedures, 18 years and under, with CC Score 6-11",.,.,.,.,.,.,.,.,.,.,.,.,"86,864",.,.,.,.,"86,864"
AA51B,"Complex Intracranial Procedures, 19 years and over, with CC Score 8-11",.,.,.,.,.,.,.,.,.,.,.,.,"15,415",.,.,.,.,"15,415"
AA51C,"Complex Intracranial Procedures, 19 years and over, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,"67,984",.,.,.,.,"67,984"
AA51D,"Complex Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,"3,342",.,.,.,.,"132,462",.,.,.,.,"135,804"
AA51F,"Complex Intracranial Procedures, 18 years and under, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,"20,454",.,.,.,.,"20,454"
AA51G,"Complex Intracranial Procedures, 18 years and under, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,"42,067",.,.,.,.,"42,067"
AA52C,"Very Major Intracranial Procedures, 19 years and over, with CC Score 4-7",.,.,.,.,.,.,.,"14,219",.,.,.,.,"230,212",.,.,.,"1,890","246,321"
AA52D,"Very Major Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,"23,018",.,.,.,.,"676,868",.,.,.,"1,890","701,776"
