WARD93_ID,WARDS,DATASET,OSNI_SCALE,LGD,AREA_SQKMS,AREA_SQM,PERIM_M,PERIM_KM,OBJECTID
101,ALDERGROVE,WARDS 1993,1:50000,Antrim,156.692306,156692306.332,65404.573929,65.404574,1
102,BALLOO,WARDS 1993,1:50000,Antrim,5.140362,5140362.41531,10542.427838,10.542428,2
103,BALLYCRAIGY,WARDS 1993,1:50000,Antrim,0.574112,574112.05117,3245.633602,3.245634,3
104,CLADY,WARDS 1993,1:50000,Antrim,80.276676,80276675.6887,56926.010795,56.926011,4
105,CRANFIELD,WARDS 1993,1:50000,Antrim,55.179049,55179049.0015,40133.283295,40.133283,5
106,CRUMLIN,WARDS 1993,1:50000,Antrim,14.710283,14710282.8485,20304.613481,20.304613,6
107,DRUMANAWAY,WARDS 1993,1:50000,Antrim,23.59545,23595450.0501,27960.430627,27.960431,7
108,FOUNTAIN HILL,WARDS 1993,1:50000,Antrim,0.868752,868752.218335,5122.39693,5.122397,8
109,GREYSTONE,WARDS 1993,1:50000,Antrim,0.553537,553536.526838,3987.706276,3.987706,9
110,MASSEREENE,WARDS 1993,1:50000,Antrim,5.227174,5227174.02172,16824.675146,16.824675,10
112,RANDALSTOWN,WARDS 1993,1:50000,Antrim,23.068715,23068715.4771,23502.158471,23.502158,11
114,SPRINGFARM,WARDS 1993,1:50000,Antrim,4.167354,4167353.59993,9370.13043,9.37013,12
115,STEEPLE,WARDS 1993,1:50000,Antrim,0.432789,432789.373201,2829.942535,2.829943,13
116,STILES,WARDS 1993,1:50000,Antrim,0.554803,554803.180868,3209.951525,3.209952,14
118,TEMPLEPATRICK,WARDS 1993,1:50000,Antrim,20.278315,20278315.0129,26239.786246,26.239786,15
119,TOOME,WARDS 1993,1:50000,Antrim,64.98469,64984690.2688,42444.163326,42.444163,16
121,FARRANSHANE,WARDS 1993,1:50000,Antrim,4.19488,4194880.43739,10338.469036,10.338469,17
122,PARKGATE,WARDS 1993,1:50000,Antrim,65.141325,65141324.6039,41798.355101,41.798355,18
123,SHILVODAN,WARDS 1993,1:50000,Antrim,52.295906,52295906.2808,44742.334514,44.742335,19
201,BALLYGOWAN,WARDS 1993,1:50000,Ards,15.643311,15643310.7415,20820.371748,20.820372,20
202,BALLYWALTER,WARDS 1993,1:50000,Ards,48.864797,48864797.218,35176.210727,35.176211,21
