Disease,Week 20,Week 19,Week 18,Week 17,Total so far 2015,Same Period 2014,Same period 2013,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,0,0,1,1,22,31,21,,,,,,,,
Acute Encephalitis/Meningitis Viral,0,0,0,0,1,3,2,,,,,,,,
Anthrax,0,0,0,0,0,0,1,, ,,,,,,
Chickenpox,44,37,40,55,750,980,731,,,,,,,,
Cholera,0,0,0,0,0,0,0,, ,,,,,,
Diphtheria,0,0,0,0,0,0,0,, ,,,,,,
Dysentery,0,0,2,1,17,3,2,, ,,,,,,
Food Poisoning,40,40,35,50,598,518,517,, ,,,,,,
Gastroenteritis (< 2years),0,3,7,2,109,165,334,,, ,,,,,
Hepatitis A,0,0,0,1,7,2,2,,,, , ,,,
Hepatitis B,1,0,1,3,43,54,35,,, , , , ,,
Hepatitis Unspecified,0,0,0,0,0,0,0,, ,,, ,,,
Legionnaires' Disease,0,0,0,0,2,3,4,,, ,, ,, ,
Leptospirosis,0,0,0,0,1,0,0,, , , , ,,,
Malaria,0,0,0,0,1,4,3,,, ,,, ,,
Measles,0,0,1,0,9,10,41,, , , , ,,,
Meningococcal Septicaemia,0,0,0,0,9,12,12,,, , , , ,,
Mumps,3,2,5,3,129,23,494,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,0,0,1,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,, , ,,,,, 
Rabies,0,0,0,1,1,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,, , ,,,,,
Rubella,0,0,0,0,3,2,7,,, ,,,,,
Scarlet Fever,7,10,20,13,233,416,115,, ,,,,,,
Smallpox,0,0,0,0,0,0,0,,, ,,,,,
Tetanus,0,0,0,0,2,0,0,, ,,,,,,
Tuberculosis (Pulmonary),1,0,1,1,18,31,13,, , ,,,,,
Tuberculosis (Non Pulmonary),0,1,0,0,14,17,15,, ,,,,,,
Typhoid,0,0,0,0,0,0,0,, , ,,,,,
Typhus,0,0,0,0,0,0,0, , ,,,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,0,, , ,,,,,
Whooping Cough,5,3,4,1,24,15,52,, , ,,,,,
Yellow Fever,0,0,0,0,0,0,0,, ,,,,,,
Total,101,96,117,132,1993,2289,2402,, , ,,,,,
,,,,,,,,, , ,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, , ,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, , , , ,,,,,,
,,, ,,,,, , ,,,,,,
*Data Provisional,,, ,, ,, , , , ,,,,,
,,, , , ,,, ,,,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
