HRG,Spec,HRG Label,Altnagelvin,Antrim,Banbridge,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Mater,Mid Ulster,Royal Victoria,South Tyrone,South West Acute,Tyrone County,Ulster,Whiteabbey,N. Ireland Total FCEs
AA09E,150,"Major Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
AA13D,110,"Intermediate Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System with CC Score 0-2",.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,1
AA14Z,191,"Intermediate Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy",.,.,.,.,14,.,.,.,.,.,.,.,.,.,.,.,.,.,14
AA15E,140,"Intermediate Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1
AA19D,400,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
AA20C,140,"Minor Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 2+",.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,1
AA20C,191,"Minor Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,4,.,6
AA20D,140,"Minor Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 0-1",8,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,9
AA20D,150,"Minor Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,3
AA20D,191,"Minor Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,.,11,.,.,1,.,12
AA21E,191,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,.,.,7,.,.,.,.,7
AA21E,400,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,.,5
AA21F,100,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,1
AA21F,120,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1
AA21F,150,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
AA21F,191,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",.,.,.,1,.,.,.,.,.,.,.,.,.,13,.,.,.,.,14
AA21F,303,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA21F,400,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,.,.,87,.,.,.,.,.,87
AA21G,100,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0",.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,1
AA21G,160,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1
AA21G,191,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0",1,.,.,.,1,.,.,.,.,.,.,.,.,17,.,.,2,.,21
AA21G,400,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,.,5
AA22G,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,1,.,.,.,.,.,2,.,.,.,.,.,3
AA22G,400,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,22,.,.,.,.,.,22
AA23F,150,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
AA23G,150,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,3
AA23G,300,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,3,.,.,.,.,.,.,.,.,.,.,.,3
AA24F,370,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
AA24G,370,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,1,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6
AA24H,300,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
AA24H,302,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
AA24H,370,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4
AA25G,100,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA25G,110,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,59,.,.,.,.,.,.,.,.,.,59
